Lexeme          CurrentNode          LineNo     TokenName            ValueIfNumber        ParentNode           Leaf       NodeSymbol          
---------------------------------------------------------------------------------------------------------------
----            lowPrecedenceOperators -1         lowPrecedenceOperators                      expPrime             no         lowPrecedenceOperators
-               TK_MINUS             11         TK_MINUS                                  lowPrecedenceOperators yes        TK_MINUS            
----            term                 -1         term                                      expPrime             no         term                
----            factor               -1         factor                                    term                 no         factor              
----            var                  -1         var                                       factor               no         var                 
5               TK_NUM               11         TK_NUM               5                    var                  yes        TK_NUM              
----            termPrime            -1         termPrime                                 term                 no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  expPrime             no         expPrime            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             expPrime             yes        UNKNOWN_TOKEN       
)               TK_CL                11         TK_CL                                     factor               yes        TK_CL               
----            termPrime            -1         termPrime                                 term                 no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  expPrime             no         expPrime            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             expPrime             yes        UNKNOWN_TOKEN       
)               TK_CL                11         TK_CL                                     factor               yes        TK_CL               
----            termPrime            -1         termPrime                                 term                 no         termPrime           
----            highPrecedenceOperators -1         highPrecedenceOperators                      termPrime            no         highPrecedenceOperators
/               TK_DIV               11         TK_DIV                                    highPrecedenceOperators yes        TK_DIV              
----            factor               -1         factor                                    termPrime            no         factor              
----            var                  -1         var                                       factor               no         var                 
4               TK_NUM               11         TK_NUM               4                    var                  yes        TK_NUM              
----            termPrime            -1         termPrime                                 termPrime            no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  arithmeticExpression no         expPrime            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             expPrime             yes        UNKNOWN_TOKEN       
missing         TK_CL                0          TK_CL                                     factor               yes        TK_CL               
                termPrime            -1         termPrime                                 term                 yes        termPrime           
----            expPrime             -1         expPrime                                  arithmeticExpression no         expPrime            
----            lowPrecedenceOperators -1         lowPrecedenceOperators                      expPrime             no         lowPrecedenceOperators
-               TK_MINUS             12         TK_MINUS                                  lowPrecedenceOperators yes        TK_MINUS            
----            term                 -1         term                                      expPrime             no         term                
----            factor               -1         factor                                    term                 no         factor              
----            var                  -1         var                                       factor               no         var                 
